id	title	device_name	similar_devices	about	network	company	locations	consumer_release	compatibility	price	connectivity	primary_applications	image_name	potential_workplace_benefits	power_source	componentry
11	Atheer One	Atheer One	"Mirama Digital Glasses,Optinvent Ora-S,META Pro,META Developer Edition,Vuzix M100 Smart Glasses"	"          The Atheer One is a pair of 3D glasses which allows to view digital content while blending in with real-world objects, depending on where the user looks. The wearable device's technology is compatible with Android and can coordinate with Apps to computerize and view the digital content."	"http://www.atheerlabs.com/,https://twitter.com/Atheerlabs,https://www.facebook.com/Atheerlabs,https://plus.google.com/u/0/117244747536594078301/posts,http://www.youtube.com/channel/UCJagZhDmEK0r2lOmlZi0iqg"	Atheer Labs	Head	Est. December 2014	Android	$500.00 USD	"WiFi,Bluetooth,USB,HDMI"	"Lifestyle,Entertainment"	Atheer%20One.png?itok=7bQKqmWp	Training	Rechargeable Battery	"Depth Camera,Photo Camera,Video Camera,Accelerometer,Ambient Light Sensor,Audio Jack,Audio Speaker,Barometer,Button Interface,Gesture Interface"
12	Athos	Athos	"Dorsa Vi,Mbody Smart System,Heapsylon Sensoria Sock,BSX Insight,Cyberdyne HAL"	"          Athos is a hi-tech wearable technology apparel which measures fitness data such as muscle effort, heart rate, balance and reps. This wearable device contains a hardware computing core, which can also be detached from the rest of the apparel. The clothing portion itself is made out of spandex, for comfort and nylon, for durability. The system measures the activity of 14 different muscles such as biceps, triceps, trapezius, deltoids, glutes, etc...."	"https://www.liveathos.com/,http://facebook.com/liveathos,http://twitter.com/liveathos,http://pintrest.com/liveathos"	Athos	"Torso,Legs,Thighs"	Est. June 2014		$298.00 USD	Bluetooth	Fitness	Athos.png?itok=t7VcQp4c	Health	Rechargeable Battery	"Accelerometer,Muscle Contraction Sensor,Heart Rate Monitor"
13	Atlas Fitness Tracker	Atlas	"GOQii Activity Band,Seraphim Sense Angel Wristband,Martian Watches,GoBe Activity Monitor,Basis B1"	"          The Atlas is a wearable fitness tracker designed to distinguish between workout routines, calculate calories burned and evaluate workout techniques. The display shows real-time feedback to relay critical workout information to the user. This may include distance traveled, laps swum and weight lifted. All this information is computed, logged and can be viewed at a later time. The accompanying app will not only synchronize data with the Atlas, but it will also give exercise recommendations. This technology is also shock and water resistant up to 50m. The touchscreen is designed to work with wet or sweaty fingers."	"http://atlaswearables.com/,https://www.facebook.com/atlaswearables,https://twitter.com/atlaswearables,https://plus.google.com/103407871917991420516,http://www.youtube.com/channel/UCgrSSU8LS0GWZ-HCafV6UBw,http://www.pinterest.com/atlaswearables/"		Wrist	Est. December 2014	"Android,iOS,Windows,OSX,Windows Mobile"	$225.00 USD	"Bluetooth,USB"	"Fitness,Lifestyle"	Atlas%20Fitness%20Tracker.png?itok=bocUjzeD	Health	Rechargeable Battery	"OLED Display,Accelerometer,Ambient Light Sensor,Button Interface,Buzzer,Clock,Gesture Interface,Gyroscope,Heart Rate Monitor,Infrared Sensor"
14	Avegant Glyph	Glyph	"CastAR,Google Glass,META Developer Edition,Epson Moverio BT-200,META Pro"	"          The Avegant Glyph is a cutting edge wearable head-mounted display designed to provide a more lifelike and comfortable viewing experience than other similar technologies. Avegant has partnered with Texas Instruments (TI) to create a custom digital light processing (DLP) display designed to project an image directly into the user's retina. The device's battery lasts two to three hours before needing to be recharged. This company launched a crowd funding campaign on Kickstarter on 22 January 2014, and their goal of $250,000 was met in 4 hours."	"http://www.avegant.com/about/,https://www.facebook.com/Avegant,https://twitter.com/avegant,http://www.youtube.com/channel/UCoO5AJ-Uuv-5-s2gScOaRfQ"	Avegant	Head	Est. December 2014	"Android,iOS,OSX,Windows,Windows Mobile,Blackberry"	$499.00 USD	"HDMI,USB"	"Entertainment,Gaming"	Avegant%20Retinal%20Display_0.jpg?itok=zEZzr7nT	Training	"Rechargeable Battery,External Source"	"DLP Display,Audio Speaker,Button Interface,Accelerometer,Gyroscope,Magnetometer"
15	Basis B1	B1	"Epson Pulsense Watch,Adidas Smart Run,MetaWatch Strata,MetaWatch Frame,Wellograph Watch"	"          The Basis B1 is a wearable activity monitor that measures every quantifiable aspect of your life. With one of the largest arrays of sensors on a wrist band, the B1's technology measures REM, light and deep sleep as well as activity duration (e.g.: walking, running, biking) and calories burned. Overall the objective of this computing device is to reduce stress and increase performance. The battery lasts up to 4 days before needing to be recharged, and the operating temperature range is between 0°C and 40°C."	"http://www.mybasis.com/,https://www.facebook.com/mybasis,https://twitter.com/mybasis,http://youtube.com/mybasistv,https://plus.google.com/100423172032343034818/posts"	Basis	Wrist	Available Now	"OSX,Windows,iOS,Android"	$199.00 USD	"Bluetooth,USB"	"Fitness,Lifestyle"	Basis%20B1_0.jpg?itok=52fqhcn5	Health	Rechargeable Battery	"Heart Rate Monitor,Accelerometer,Ambient Light Sensor,Thermometer,LCD Display,Button Interface"
16	Be Bionic	Be Bionic	"Thalmic Labs MYO Armband,Qardio QardioArm,Sigmo,Metria IH1,Withings Blood Pressure Monitor"	"          The BeBionic hand is an advanced myoelectric wearable prosthetic hand that enables amputees to use multiple grip patterns and adjustable speed control. This wearable device has individual motors for each finger, allowing a natural looking movement. It uses EMG electrodes to detect electric signals in the arm, and powerful microprocessors to compute and translate the data into movements. The BeBionic's technology is capable of 14 different grip patterns and selectable thumb positions."	"http://bebionic.com/,http://www.facebook.com/bebionic,http://twitter.com/#!/bebionic"	RSLSteeper	Arm	Undisclosed		No Announcement Yet	USB	"Medical,Lifestyle,Industrial"	BeBionic.png?itok=2lC34RWl	Productivity	Rechargeable Battery	"EMG Sensor,Motor"
17	BEARTek Bluetooth Gloves	Bluetooth Gloves	"Fujitsu Glove-Style Wearable Device,Peregrine,SensoGlove,I-limb Ultra,Adidas Smart Run"	"          The BEARTek Bluetooth Gloves are a waterproof wearable device that allows the remote control of a camera, music and phone. Paired to a smartphone, it can be used in snow sports, motorcycling or everyday activities. A simple touch of the appropriate finger with the thumb, and the user can access the desired feature without interrupting his/her activity."	"http://www.beartekgloves.com/,https://www.facebook.com/BlueInfusion,https://twitter.com/BearTekGloves,http://www.youtube.com/user/beartekgloves,https://plus.google.com/s/beartech"	BEARTek	Hand	Available Now	"Android,iOS,Windows Mobile"	$95.00 USD	"WiFi,Bluetooth,USB"	"Lifestyle,Entertainment"	BEARTek%20Bluetooth%20Gloves_0.jpg?itok=-njw1G0C	Communication	Rechargeable Battery	Touch Interface
18	BIA Sports Watch 	BIA Sports Watch	"Adidas Smart Run,Garmin Approach S3,WearIT Smart Watch,Motorola Motoactv,Samsung Gear Fit"	"          The Bia Sports Watch is a lightweight smart watch equipped with a SOS safety alert and wireless data sync to online training logs. This hi-tech wearable device is a two piece watch with a normal sports watch connected to the GPS-Go-Stick which contains the GPS, rechargeable battery and accelerometer. The sport watch displays the time, stopwatch and heart rate while the GPS Go Stick measures the distance, speed and pace of the user."	"http://www.bia-sport.com/,https://twitter.com/biasport,https://www.facebook.com/BiaSport,http://www.pinterest.com/BiaSport/"	BIA	Wrist	Available Now	Undisclosed	$249.00 USD	WiFi	"Lifestyle,Fitness"	BIA%20Sports%20Watch%202.png?itok=9V3Fm-G7	Communication	Rechargeable Battery	"Touch Interface,GPS,Accelerometer,Clock"
19	Bioharness 3	Bioharness 3	"Hexoskin,Preventice BodyGuardian,OMsignal,Rest Devices Mimo,BioPatch"	"          Bioharness 3 is a wearable activity monitor that analyses the user's movements and provides performance analysis, which can be displayed on a mobile device or computer. This hi-tech device is designed for multiple applications including health signals tracking, training and performance maximization.  Bioharness 3 is worn beneath the shirt and will not impede the activity of the user."	"http://www.zephyranywhere.com/products/,http://www.twitter.com/zephyranywhere,https://www.facebook.com/ZephyrTechnology,http://www.youtube.com/user/zephyrpsm"	Zephyr	Torso	Available Now	"Android,Windows,OSX"	$549.95 USD	Bluetooth	Fitness	bioharness%203_0.png?itok=Apg0VBKQ	Health	Rechargeable Battery	"GPS,Accelerometer,Heart Rate Monitor,Respiratory Monitor,ECG Sensor"
20	Bionym Nymi Wristband	Nymi	"Epson Pulsense Wristband,Basis B1,Epson Pulsense Watch,Adidas Smart Run,Wellograph Watch"	"          The Nymi is an authentication wearable device that uses your body's unique cardiac signal to unlock a computer, smartphone, car and any other device with Bluetooth authentication enabled. The user is first authenticated by placing the Nymi on their wrist and touching the top of the wearable device with their finger. The user will remain authenticated as long as the Nymi is worn. Each charge lasts approximately one week."	"http://www.bionym.com/,https://www.facebook.com/GetNymi,https://twitter.com/nymiband,https://plus.google.com/u/0/b/102407550968981047547/,http://www.youtube.com/user/Bionym"	Bionym	Wrist	Est. Q1 2014	"iOS,OSX,Windows,Android"	$99.00 USD	"Bluetooth,USB"	Lifestyle	Bionym_Nymi_black_top.png?itok=t9y-2Qdi	Security	Rechargeable Battery	"Heart Rate Monitor,Accelerometer,Gyroscope"
21	BioPatch	BioPatch	"Sense Pro Dry Electrodes,Zio XT Patch,Somaxis MyoLink,Bioharness 3,Hexoskin"	"          BioPatch is a wearable activity monitor that attaches to traditional disposable ECG electrodes. This technology offers patients the freedom to move around without troublesome cables. This wearable device is small, comfortable and continuously monitors the patient's heart rate, respiratory rate and activity level. This data is wirelessly transferred to Android devices or computers for remote analysis and monitoring."	"http://www.zephyranywhere.com/products/biopatch/,http://www.twitter.com/zephyranywhere,https://www.facebook.com/ZephyrTechnology,http://www.youtube.com/user/zephyrpsm"	Zephyr	Body (Anywhere)	Undisclosed	"Android,Windows,OSX"	No Announcement Yet	Bluetooth	Fitness	BioPatch.png?itok=yFgmZcbB	Health	Rechargeable Battery	"ECG Sensor,Accelerometer,Respiratory Monitor"
22	BodyMedia Link Armband	Link	"Qardio QardioArm,Metria IH1,Thalmic Labs MYO Armband,Withings Blood Pressure Monitor,Sigmo"	"          The BodyMedia Fit is a wearable activity monitoring device aimed at analyzing the body's activity for health and fitness goals. This wearable device works with a proprietary platform that calculates calories burned, calories consumed, time spent in physical activity and time spent sleeping. The company was recently acquired by Jawbone. This could be a strategic acquisition to enhance the capabilities of the Jawbone Up and it's platform for analysis."	"http://www.bodymedia.com/Support-Help/BodyMedia-FIT-BW,https://www.facebook.com/BodyMediaFIT,https://twitter.com/bodymedia,http://www.youtube.com/bodymediafit,https://plus.google.com/101821491581786427396/posts"	BodyMedia	Arm	Available Now	"Android,iOS"	$119.00 USD	Bluetooth	"Fitness,Lifestyle"	BodyMedia%20FIT_0.jpg?itok=dHSS99R5	Health	Rechargeable Battery	"Accelerometer,Thermometer,Ambient Light Sensor"
23	BPM Physio	BPM Physio	"Kiwi Move,Fitbug Orb  ,Catapult Nanotrak,9Solutions IPCS Products,Xensr "	          The BPM physio is a wearable advanced fitness and medical device that utilizes sensors to make real-time and accurate measurements of how the body moves. The sensors can be placed on different parts of the body and allow the visualization of its different movements. The device then translates them into live animated graphics which can be viewed on a computer or a tablet.	http://www.bpmpro.co.uk/bpmpro-products/		Body (Anywhere)	Oct-13	"Windows,Android,iOS"	£250.00 GBP	Bluetooth	"Medical,Fitness"	Bpm%20physio.png?itok=ZtsU7KGt	Health	Rechargeable Battery	"Accelerometer,Barometer,Button Interface,Gesture Interface,Gyroscope,Magnetometer,Pedometer,Pressure Sensor"
24	BSX Insight	BSX Athletics	"Catapult OptimEye S5,Cyberdyne HAL,Mbody Smart System,Heapsylon Sensoria Sock,Fatigue Science Readiband"	"          The BSX Insight is a wearable sensor that can be paired to a sports smartwatch or smartphone in order to record heart rate, lactate threshold, cadence, pace and calories burned. The system also calculates the lactate threshold of the user, which indicates endurance performance. BSX Insight transmits vital information using ANT+ and Bluetooth connectivity. The hi-tech device is placed on the leg within a stylish and comfortable sleeve, and can be used for physical exercise monitoring and body-related data analysis."	"https://www.kickstarter.com/projects/1655571865/insight-smarter-tech-for-the-smarter-athlete,https://www.facebook.com/BSXathletics,http://www.pinterest.com/BSXathletics/pins/,http://www.youtube.com/user/BSXathletics"	BSX Insight	Legs	Undisclosed	Windows	No Announcement Yet	"Bluetooth,ANT+"	"Fitness,Lifestyle"	BSX%20Insight.png?itok=tcXzHcCt	Training	Rechargeable Battery	"Accelerometer,Gyroscope,LED Display"
25	BTS Surface EMG	BTS Surface EMG	"Ekso Bionics,Be Bionic,Somaxis MyoLink,Thalmic Labs MYO Armband,BIA Sports Watch "	"          The BTS Surface EMG is a wearable synchro-myography device used for monitoring muscular activity. Wireless gel electrodes are applied to the skin of the user, and electrodes amplify the signal received by the electromyogram. The data is then transferred to the computer and analysed in real-time. The BTS Surface EMG comes in three models: FREEEMG, FREEWALK and TMJOINT. The first one is used to evaluate orthopedic and neurological dysfunctions, the FREEWALK studies muscles activity when walking, and the TMJOINT is for correction of occlusal interferences. The BTS EMG technology comes with 4 to 8 electrodes depending on the model of the device."	http://www.btsbioengineering.com/products/surface-emg/	BTS Bioengineering	Body	Undisclosed	Windows	No Announcement Yet	WiFi	"Medical,Fitness"	BTS-FREEEMG.png?itok=nCADYWu4	Health	Rechargeable Battery	"Touch Interface,EMG Sensor,Undisclosed"
26	Buhel Helmet Communication System	"D01, D02"	"Skully Helmets,Buhel Speakgoggle,Buhel Speakglasses,Optinvent Ora-S,Google Glass"	"          The Buhel D01/D02 is a wearable helmet communication system designed for integration into vehicle safety helmets. What's unique about the D01/D02 is that it uses the shell of the helmet to transmit audio rather than having a conventional speaker or earpiece. Once paired with a compatible bluetooth device, the D01/D02 can play music, make calls, and relay GPS directions. The only difference between the D01 and the D02 is that the D02 has a built in intercom function."	"http://www.buhel.com/en/d01.html,https://www.facebook.com/buhelpro,http://www.youtube.com/user/Sumner2810,https://plus.google.com/u/0/106759925665398079330/posts"	Buhel	Head	Available Now	"Android,iOS,Windows Mobile,Blackberry"	%u20AC128.99 EUR	Bluetooth	Lifestyle	Buhel%20Helmet%20Communication%20System%20D01_0.jpg?itok=r2Zkos39	Communication	Rechargeable Battery	"Bone Conduction Speaker,Microphone"
27	Buhel Speakglasses	SG04	"Buhel Speakgoggle,Buhel Helmet Communication System,Skully Helmets,The Dash by BRAGI LLC.,Fun'iki Ambient Glasses"	          The Buhel Speakerglasses SG04 is a wearable pair of sport sunglasses that enables the user to listen to music and answer phone calls hands-free. The device uses a bone conduction microphone to capture the user's voice as it travels through their nose. This is said to increase the accuracy of audio input and improve the user's experience during a conversation.	"http://www.buhel.com/en/sg04.html,http://www.youtube.com/user/Sumner2810,https://plus.google.com/s/buhel,https://www.facebook.com/buhelpro"	Buhel	Head	Available Now	"Android,iOS,Windows Mobile,Blackberry"	%u20AC155.00 EUR	Bluetooth	"Fitness,Lifestyle"	Buhel%20Speakflasses%20SG04_0.jpg?itok=FaBttxfF	Communication	Rechargeable Battery	"Audio Speaker,Perspiration Monitor,Bone Conduction Mic"
28	Buhel Speakgoggle	"G31, G33"	"Buhel Speakglasses,Buhel Helmet Communication System,Skully Helmets,Fun'iki Ambient Glasses,Avegant Glyph"	"          The Buhel Speakegoggle G31/G33 is a smart wearable device that allows complete hand-free and noise-free communication thanks to bone conduction microphone. Via Bluetooth, the user can control and listen to music, answer phone calls and voice dial. The G31/G33 is a high-quality ski goggle and resists to temperatures as low as -45°. It can be used in snow sports as well as motocross, BMX and quad riders. The G33 includes an intercom functionality while the G31 does not."	"http://www.buhel.com/en/g31.html,http://www.youtube.com/user/Sumner2810,https://plus.google.com/s/buhel,https://www.facebook.com/buhelpro"	Buhel	Head	Available Now	"Android,iOS,Windows Mobile,Blackberry"	%u20AC239.00 EUR	Bluetooth	Fitness	Buhel%20Speakgoggle%20G31_0.jpg?itok=WnBNW6go	Communication	Rechargeable Battery	"Audio Speaker,Perspiration Monitor"
29	Casio G-Shock GB-6900	G-Shock GB-6900	"ConnecteDevice Cogito Watch,ConnecteDevice Cookoo,Mio Alpha,MetaWatch Strata,MetaWatch Frame"	"          The Casio G-Shock GB-6900 watch is a shock-resistant and water-resistant wearable device. It uses wireless Bluetooth linking and can be paired to Android and iOS smartphones via the G-Shock+ application. The hi-tech G-Shock touch screen display allows an easy access to watch functions, calendars, social media and emails alert notifications, music control etc."	"http://www.casio.com/products/Watches/G-Shock/GB6900AA-1/,https://twitter.com/GSHOCK_OFFICIAL,http://www.youtube.com/user/gshockus,https://plus.google.com/s/g-shock,https://www.facebook.com/CASIO.GSHOCK?fref=ts"	Casio	Wrist	Available Now	iOS	$180.00 USD	Bluetooth	"Lifestyle,Entertainment"	Casio%20G-Shock%20GB-6900_0.jpg?itok=Xt8m1SSB	Communication	Disposable Battery	"Clock,LCD Display,Buzzer,Button Interface"
30	CastAR	CastAR	"Avegant Glyph,Cinemizer OLED,META Developer Edition,InfinitEye Virtual Reality Display,Epson Moverio BT-200"	          The CastAR is a wearable device used to project a 3D image onto a retroreflective surface. This means that any light projected on the surface will return to its source. The CastAR uses two projectors located on the rim of the glasses to project stereoscopic video. This technology has the option of both full virtual reality and full augmented reality. CastAR comes with a magic wand that can track its own position and orientation in space. The website also has free sample games for the user to test out.	http://technicalillusions.com/	Technical Illusions	Head	Est. May 2014	Windows	$900.00 USD	"USB,HDMI"	"Gaming,Entertainment"	CastAR_0.png?itok=DdOAcuxs	Productivity	Rechargeable Battery	"DLP Display,Gyroscope"
31	Catapult Nanotrak	Nanotrak	"Xensr ,Fitbug Orb  ,BPM Physio,Kiwi Move,Fitbit One"	"          The Catapult Nanotrack is a wearable activity monitor designed to assist teams, institutes, and individual athletes. The system is designed to help evaluate technique and impact that don't require positional data. The technological device is small enough to be placed almost anywhere on the body and has been used to quantify collisions and joint stress in sports. This can be used to compare technique and equipment."	"http://www.catapultsports.com/united-states/system/outdoor/,http://www.youtube.com/user/CatapultSports,https://www.facebook.com/catapultsports,https://twitter.com/CatapultSports"	Catapult	Body (Anywhere)	Undisclosed	iOS	No Announcement Yet	ANT+	Fitness	nanotrak1.jpg?itok=x4oTxcCg	Cost Reduction	Rechargeable Battery	"Accelerometer,Magnetometer,Gyroscope"
32	Catapult OptimEye S5	OptimEye S5	"Moticon OpenGo Science,BSX Insight,Mbody Smart System,Amiigo Fitness Band,Owlet Baby Monitor"	          The Catapult Optimeye S5 is a wearable activity monitor designed for athletes. The objective is to accurately monitor every possible physical parameter of the athlete. It has been designed to be robust and comfortably worn on the athlete's upper back. The OptimEye S5 is a vital device for understanding the modern athlete.	"http://www.catapultsports.com/system/outdoor/,https://twitter.com/CatapultSports,http://www.youtube.com/user/CatapultSports,https://www.facebook.com/catapultsports"	Catapult	"Legs,Feet"	Undisclosed	iOS	$300.00 USD	"ANT+,USB"	"Fitness,Medical"	s5.jpg?itok=h2o8vJjL	Health	Rechargeable Battery	"Accelerometer,Magnetometer,Gyroscope,GPS,Heart Rate Monitor"
33	Cinemizer OLED	Cinemizer OLED	"Sony HMZ-T3W Personal 3D Viewer,InfinitEye Virtual Reality Display,Oculus Rift,Avegant Glyph,CastAR"	"          The Cinemizer OLED by Zeiss is a virtual-reality pair of glasses designed for 3D video entertainment. Cinemizer OLED can be used with various devices such as blue-ray player, gaming consoles, computers and smartphones. The technological glasses also allow the users to change the lens based on their prescription. The wearable device is built for comfort thanks to its low weight and soft silicon nose pad."	"http://cinemizer.zeiss.com/cinemizer-oled/en_de/product-information.html#technical-details,http://www.facebook.com/cinemizer"	Zeiss	Head	Undisclosed	"iOS,Windows,OSX"	No Announcement Yet	"HDMI,USB"	"Gaming,Entertainment"	Cinemizer.png?itok=X7vZGJeZ	Productivity	Rechargeable Battery	"OLED Display,Gyroscope"
